vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2
2024-1193533,2024-01-03,410570.0,RUE DE SOFIA,18,40.0,3,2.34817,48.88449,10264.25
2024-1193534,2024-01-03,418500.0,RUE D ARMAILLE,17,35.0,1,2.29225,48.87747,11957.14
2024-1193539,2024-01-03,674800.0,RUE DU BAIGNEUR,18,62.0,3,2.34459,48.89032,10883.87
2024-1193697,2024-01-03,500000.0,RUE DES ANNELETS,19,61.0,3,2.3898,48.87737,8196.72
2024-1193724,2024-01-03,680000.0,BD BERTHIER,17,100.0,4,2.30093,48.88816,6800.0
2024-1193757,2024-01-03,285000.0,RUE DE THIONVILLE,19,42.0,1,2.38147,48.88867,6785.71
2024-1193984,2024-01-03,700000.0,RUE DE CHATEAUDUN,9,90.0,3,2.34158,48.876,7777.78
2024-1210533,2024-01-03,600000.0,RUE DES QUATRE VENTS,6,38.0,1,2.33821,48.852,15789.47
2024-1210539,2024-01-03,190000.0,RUE SIBUET,12,22.0,1,2.40323,48.8435,8636.36
2024-1210585,2024-01-03,703000.0,RUE HENRI HEINE,16,97.0,4,2.26536,48.85301,7247.42
2024-1210589,2024-01-03,268000.0,RUE CHARLES FOURIER,13,27.0,1,2.35252,48.82518,9925.93
2024-1210594,2024-01-03,870000.0,RUE POLIVEAU,5,81.0,4,2.35849,48.8399,10740.74
2024-1210675,2024-01-03,400000.0,RUE LETELLIER,15,42.0,2,2.29605,48.84777,9523.81
2024-1210700,2024-01-03,537600.0,RUE FREDERIC MAGISSON,15,50.0,3,2.28918,48.84253,10752.0
2024-1210704,2024-01-03,185000.0,BD MURAT,16,44.0,2,2.26378,48.83804,4204.55
2024-1210766,2024-01-03,450000.0,RUE DE WATTIGNIES,12,47.0,2,2.39591,48.83541,9574.47
2024-1210784,2024-01-03,260000.0,RUE DE CASABLANCA,15,36.0,2,2.28914,48.839,7222.22
2024-1210829,2024-01-03,272000.0,RUE DE PASSY,16,21.0,1,2.28208,48.8579,12952.38
2024-1210914,2024-01-03,300000.0,RUE DE LOURMEL,15,32.0,2,2.28384,48.8406,9375.0
2024-1210942,2024-01-03,2727778.0,RUE PIERRE ET MARIE CURIE,5,136.0,7,2.34503,48.84456,20057.19
2024-1211009,2024-01-03,990384.0,RUE COROT,16,104.0,5,2.26988,48.84738,9522.92
2024-1211039,2024-01-03,629500.0,BD DE MENILMONTANT,11,80.0,3,2.38876,48.85937,7868.75
2024-1211093,2024-01-03,1212000.0,SQ CHARLES LAURENT,15,99.0,4,2.30342,48.84355,12242.42
2024-1211176,2024-01-03,1904000.0,BD JULES SANDEAU,16,170.0,6,2.27227,48.86233,11200.0
2024-1193218,2024-01-04,1042000.0,VLA PERREUR,20,86.0,4,2.40523,48.86822,12116.28
2024-1193219,2024-01-04,299120.0,RUE DU ROI D ALGER,18,36.0,3,2.34766,48.89534,8308.89
2024-1193231,2024-01-04,188219.0,BD DE LA VILLETTE,19,28.0,2,2.37406,48.87524,6722.11
2024-1193236,2024-01-04,901200.0,RUE DES DAMES,17,75.0,3,2.32126,48.88398,12016.0
2024-1193244,2024-01-04,431500.0,RUE DES PYRENEES,20,46.0,2,2.3961,48.86825,9380.43
2024-1193248,2024-01-04,220000.0,RUE BOUCRY,18,65.0,3,2.36237,48.89458,3384.62
2024-1193256,2024-01-04,500000.0,RUE DE GRANGE BATELIERE,9,32.0,2,2.34208,48.87327,15625.0
2024-1193263,2024-01-04,445000.0,RUE REBEVAL,19,66.0,3,2.37798,48.87523,6742.42
2024-1193264,2024-01-04,85000.0,RUE SAINT MAUR,10,19.0,1,2.371,48.87232,4473.68
