vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2,annee
2023-1341942,2023-01-09,5760000.0,BD SAINT GERMAIN,6,248.0,5,2.33789,48.85223,23225.81,2023
2023-1342032,2023-01-09,565000.0,RUE VIOLET,15,49.0,2,2.29326,48.84866,11530.61,2023
2023-1342069,2023-01-09,1307000.0,RUE DE BABYLONE,7,98.0,3,2.31757,48.85194,13336.73,2023
2023-1342101,2023-01-09,305000.0,RUE DU CHATEAU,14,32.0,2,2.32315,48.83349,9531.25,2023
2023-1342202,2023-01-09,381000.0,QUAI DE GRENELLE,15,43.0,2,2.28584,48.85162,8860.47,2023
2023-1342339,2023-01-09,650000.0,AV DE LA REPUBLIQUE,11,67.0,3,2.37663,48.8651,9701.49,2023
2023-1322089,2023-01-10,316770.0,RUE LOUIS PUTEAUX,17,35.0,2,2.32177,48.88295,9050.57,2023
2023-1322094,2023-01-10,260000.0,QUAI DE L OISE,19,31.0,1,2.38301,48.89094,8387.1,2023
2023-1322097,2023-01-10,380000.0,RUE PIERRE FONTAINE,9,30.0,2,2.33307,48.88265,12666.67,2023
2023-1322100,2023-01-10,693000.0,RUE DU FBOURG MONTMARTRE,9,64.0,3,2.34298,48.87386,10828.12,2023
2023-1322101,2023-01-10,469000.0,RUE DE MARSEILLE,10,48.0,3,2.36388,48.8715,9770.83,2023
2023-1322113,2023-01-10,707300.0,RUE DE LA TOUR D AUVERGNE,9,54.0,3,2.3456,48.8788,13098.15,2023
2023-1322134,2023-01-10,402500.0,RUE DES POISSONNIERS,18,46.0,2,2.35218,48.88936,8750.0,2023
2023-1322139,2023-01-10,710000.0,RUE LA FAYETTE,10,79.0,4,2.35961,48.88017,8987.34,2023
2023-1322146,2023-01-10,1180000.0,RUE RENE BOULANGER,10,118.0,4,2.35977,48.86892,10000.0,2023
2023-1322156,2023-01-10,240000.0,RUE DE LA TOUR D AUVERGNE,9,21.0,1,2.34484,48.8787,11428.57,2023
2023-1322172,2023-01-10,160000.0,RUE GUSTAVE CHARPENTIER,17,15.0,1,2.281,48.8813,10666.67,2023
2023-1322189,2023-01-10,294000.0,RUE RIQUET,18,37.0,2,2.36117,48.88983,7945.95,2023
2023-1322195,2023-01-10,750000.0,RUE EUGENE VARLIN,10,73.0,5,2.36395,48.87842,10273.97,2023
2023-1322201,2023-01-10,529000.0,RUE GANNERON,18,52.0,2,2.3274,48.88616,10173.08,2023
2023-1322222,2023-01-10,284000.0,AV JEAN JAURES,19,36.0,2,2.37546,48.8844,7888.89,2023
2023-1322225,2023-01-10,714500.0,RUE QUENTIN BAUCHART,8,49.0,1,2.2998,48.86886,14581.63,2023
2023-1322249,2023-01-10,520000.0,RUE MARCADET,18,58.0,3,2.34113,48.89097,8965.52,2023
2023-1322258,2023-01-10,1910000.0,RUE GOUNOD,17,162.0,5,2.30093,48.88317,11790.12,2023
2023-1322286,2023-01-10,607200.0,RUE DE LA BIDASSOA,20,57.0,3,2.39132,48.86773,10652.63,2023
2023-1322303,2023-01-10,172200.0,RUE CHAMPIONNET,18,19.0,2,2.35134,48.89544,9063.16,2023
2023-1322365,2023-01-10,380000.0,RUE PETRELLE,9,37.0,2,2.34696,48.88097,10270.27,2023
2023-1322385,2023-01-10,210000.0,RUE LAMARCK,18,11.0,1,2.33043,48.89086,19090.91,2023
2023-1322414,2023-01-10,285000.0,RUE DE PONTHIEU,8,23.0,1,2.31059,48.87013,12391.3,2023
2023-1322465,2023-01-10,201615.0,RUE LEGENDRE,17,19.0,2,2.32562,48.89171,10611.32,2023
2023-1322476,2023-01-10,1261650.0,RUE CHRISTIANI,18,100.0,4,2.34775,48.8861,12616.5,2023
2023-1322509,2023-01-10,420000.0,RUE CYRANO DE BERGERAC,18,38.0,2,2.34202,48.89112,11052.63,2023
2023-1322522,2023-01-10,285000.0,RUE ORDENER,18,42.0,2,2.3408,48.89337,6785.71,2023
2023-1322535,2023-01-10,430000.0,RUE DES LIONS SAINT PAUL,4,22.0,2,2.36242,48.85259,19545.45,2023
2023-1322574,2023-01-10,285000.0,RUE PIERRE CHAUSSON,10,32.0,2,2.36015,48.87075,8906.25,2023
2023-1322580,2023-01-10,527000.0,RUE DES GRAVILLIERS,3,45.0,2,2.3566,48.86417,11711.11,2023
2023-1322647,2023-01-10,272000.0,AV JEAN JAURES,19,30.0,1,2.38411,48.88563,9066.67,2023
2023-1322649,2023-01-10,340000.0,AV GAMBETTA,20,41.0,3,2.38969,48.86368,8292.68,2023
2023-1322705,2023-01-10,705500.0,RUE DU SOLEIL,20,74.0,3,2.39422,48.87476,9533.78,2023
2023-1322741,2023-01-10,700000.0,BD PEREIRE,17,24.0,1,2.29795,48.88591,29166.67,2023
2023-1322837,2023-01-10,178500.0,RUE DU MONT CENIS,18,24.0,1,2.34403,48.89134,7437.5,2023
2023-1322859,2023-01-10,740000.0,RUE DE ROME,17,79.0,3,2.31838,48.88368,9367.09,2023
2023-1322862,2023-01-10,437500.0,RUE DES ARCHIVES,4,31.0,1,2.35432,48.85791,14112.9,2023
2023-1322985,2023-01-10,305264.0,RUE DE COURCELLES,8,25.0,1,2.30831,48.87547,12210.56,2023
2023-1322987,2023-01-10,1242650.0,RUE D AMSTERDAM,9,55.0,4,2.32742,48.88239,22593.64,2023
2023-1323068,2023-01-10,250000.0,RUE VIEILLE DU TEMPLE,4,17.0,1,2.3566,48.85659,14705.88,2023
2023-1323133,2023-01-10,475000.0,RUE DE LA MARE,20,47.0,2,2.389,48.8735,10106.38,2023
2023-1323149,2023-01-10,340000.0,RUE ST LOUIS EN L ILE,4,21.0,1,2.35439,48.85242,16190.48,2023
2023-1323242,2023-01-10,248000.0,AV JEAN JAURES,19,37.0,2,2.37257,48.88375,6702.7,2023
2023-1326888,2023-01-10,449000.0,RUE BLANCHE,9,30.0,2,2.33208,48.88175,14966.67,2023
2023-1341038,2023-01-10,315000.0,RUE DE L AUDE,14,45.0,3,2.33363,48.82652,7000.0,2023
2023-1341042,2023-01-10,560000.0,RUE MADAME,6,30.0,2,2.33226,48.8522,18666.67,2023
2023-1341045,2023-01-10,495000.0,BD EDGAR QUINET,14,42.0,1,2.32519,48.84051,11785.71,2023
2023-1341048,2023-01-10,200970.0,RUE CAMBRONNE,15,18.0,1,2.30181,48.84428,11165.0,2023
2023-1341053,2023-01-10,298760.0,RUE DE LA VOUTE,12,31.0,2,2.40908,48.84644,9637.42,2023
2023-1341054,2023-01-10,285000.0,RUE DE L OUEST,14,28.0,2,2.31594,48.83409,10178.57,2023
2023-1341070,2023-01-10,457000.0,RUE ROUELLE,15,43.0,2,2.28919,48.84985,10627.91,2023
2023-1341086,2023-01-10,401150.0,RUE BOILEAU,16,34.0,2,2.2642,48.84483,11798.53,2023
2023-1341091,2023-01-10,572900.0,RUE FREDERIC MAGISSON,15,55.0,3,2.28893,48.84181,10416.36,2023
2023-1341120,2023-01-10,1000000.0,RUE GAZAN,14,78.0,2,2.34078,48.82296,12820.51,2023
2023-1341135,2023-01-10,460000.0,BD PONIATOWSKI,12,56.0,3,2.40371,48.8343,8214.29,2023
2023-1341145,2023-01-10,395604.0,RUE VAUGELAS,15,31.0,2,2.2948,48.83429,12761.42,2023
2023-1341175,2023-01-10,980000.0,BD VOLTAIRE,11,105.0,3,2.38175,48.85728,9333.33,2023
2023-1341177,2023-01-10,286900.0,RUE DE MUSSET,16,28.0,2,2.26458,48.84199,10246.43,2023
2023-1341183,2023-01-10,276000.0,RUE DE L ARBALETE,5,22.0,2,2.34938,48.84027,12545.45,2023
2023-1341207,2023-01-10,278400.0,BD EDGAR QUINET,14,22.0,1,2.32901,48.84025,12654.55,2023
2023-1341218,2023-01-10,125000.0,RUE DE LA ROQUETTE,11,16.0,1,2.37329,48.8552,7812.5,2023
2023-1341249,2023-01-10,285000.0,RUE DU SERGENT BAUCHAT,12,28.0,1,2.39398,48.84556,10178.57,2023
